,Level_1,Level_2,Level_3,Level_4,Level_5,MN2P2.1,MN2P2.2,MN2P2.3,MN2P2.4,N0P0.1,N0P0.2,N0P0.3,N0P0.4,N2P2.1,N2P2.2,N2P2.3,N2P2.4,RS.MN2P2.1,RS.MN2P2.2,RS.MN2P2.3,RS.MN2P2.4,RSN0P0.1,RSN0P0.2,RSN0P0.3,RSN0P0.4,RS.N2P2.1,RS.N2P2.2,RS.N2P2.3,RS.N2P2.4
kegg47,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K03737 pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-],K03737,7,8,9,8,7,12,12,10,10,6,8,9,6,6,9,6,5,9,9,11,5,8,5,4
kegg48,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K03841 fructose-1,6-bisphosphatase I [EC:3.1.3.11]",K03841,3,4,5,3,6,2,4,2,3,3,2,3,4,4,5,6,3,4,3,4,3,3,6,3
kegg49,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K04041 fructose-1,6-bisphosphatase III [EC:3.1.3.11]",K04041,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg50,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K04072 acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1],K04072,5,7,2,7,6,7,4,7,4,7,8,8,3,4,2,1,6,3,7,3,2,2,1,2
kegg51,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K06859 glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]",K06859,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kegg52,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K11532 fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]",K11532,2,4,2,1,3,1,4,1,3,5,3,4,3,3,3,5,3,2,2,2,4,2,4,1
kegg53,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K11645 fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",K11645,7,5,6,5,5,6,4,4,6,5,5,4,4,7,7,5,5,7,5,7,6,4,2,5
kegg54,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K12957 alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183],K12957,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,1,0,1,1,1,1,1,1,1
kegg55,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K13810 transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9],K13810,3,3,3,2,2,3,3,4,4,4,3,2,2,1,2,1,3,3,3,2,2,5,2,3
kegg56,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K13953 alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]",K13953,23,27,39,32,32,37,34,39,25,27,27,29,19,21,24,16,21,30,29,30,27,31,26,21
kegg57,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K13979 alcohol dehydrogenase (NADP+) [EC:1.1.1.2],K13979,6,6,10,5,9,5,4,6,8,8,5,7,5,7,8,7,9,5,8,6,5,9,7,6
kegg58,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K15633 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",K15633,2,4,3,3,4,3,3,4,3,4,6,4,4,4,5,3,4,5,3,4,3,1,5,5
kegg59,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K15634 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",K15634,5,7,3,4,7,5,4,4,5,5,5,4,5,4,4,7,3,5,4,2,3,5,6,7
kegg60,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K15635 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",K15635,5,7,8,8,7,7,7,8,6,8,8,5,3,7,5,4,4,7,5,5,5,5,5,3
kegg61,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K15778 phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2],K15778,12,12,8,13,15,10,12,10,15,10,11,13,12,11,17,14,9,8,13,7,7,9,10,10
kegg62,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K15916 glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8],K15916,2,1,2,1,3,1,2,2,1,3,4,2,1,1,2,1,0,0,3,0,1,1,0,2
kegg63,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K16306 fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]",K16306,2,3,4,2,6,2,2,3,2,3,4,4,1,4,4,3,0,3,2,2,2,3,2,1
kegg64,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K16370 6-phosphofructokinase 2 [EC:2.7.1.11],K16370,2,2,3,2,3,3,1,3,3,2,1,2,1,3,2,1,2,3,1,3,2,3,2,3
kegg65,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K20866 glucose-1-phosphatase [EC:3.1.3.10],K20866,1,1,0,0,0,1,1,1,1,0,1,1,0,2,1,1,3,1,0,1,1,2,1,1
kegg66,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K21071 ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],K21071,12,15,15,16,12,15,16,17,15,14,14,15,15,17,10,11,13,15,18,11,12,10,11,13
kegg67,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K24012 acetate---CoA ligase (ADP-forming) [EC:6.2.1.13],K24012,10,11,12,11,14,16,11,8,11,14,16,10,10,12,14,13,13,13,15,12,19,13,11,15
kegg68,Metabolism,-,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),ko00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg69,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00024 malate dehydrogenase [EC:1.1.1.37],K00024,11,14,11,14,10,11,12,12,16,15,13,11,16,12,15,15,13,9,11,17,18,17,14,16
kegg70,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],K00030,9,8,8,6,7,9,7,9,7,8,8,5,5,3,6,8,4,8,6,4,5,6,7,7
kegg71,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00031 isocitrate dehydrogenase [EC:1.1.1.42],K00031,8,13,9,9,11,8,8,8,9,13,10,9,18,18,11,18,13,10,11,9,18,11,12,14
kegg72,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00116 malate dehydrogenase (quinone) [EC:1.1.5.4],K00116,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,2,2,0,1,1,1,1,2,2
kegg73,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00161 pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1],K00161,9,10,12,9,7,11,10,6,7,13,9,14,14,13,14,8,15,8,12,10,14,9,11,16
kegg74,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00162 pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1],K00162,11,11,9,9,10,12,11,4,13,13,12,12,12,11,17,8,15,10,10,13,16,10,10,19
kegg75,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00163 pyruvate dehydrogenase E1 component [EC:1.2.4.1],K00163,13,14,17,17,10,12,11,13,16,13,20,17,15,16,13,13,24,14,10,10,22,20,12,13
kegg76,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00164 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2],K00164,16,17,13,13,11,12,17,20,16,15,12,12,20,18,16,19,15,13,18,16,17,16,22,15
kegg77,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00169 pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],K00169,7,9,13,6,11,10,14,13,9,9,6,9,3,4,6,5,6,8,10,9,5,3,5,6
kegg78,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00170 pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],K00170,7,9,7,7,22,15,15,9,10,11,9,13,7,7,9,10,6,8,8,5,5,8,6,8
kegg79,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00171 pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],K00171,2,3,4,3,2,3,2,3,3,3,1,3,0,2,2,1,2,3,3,1,1,2,1,3
kegg80,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00172 pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1],K00172,4,4,8,5,6,9,7,6,6,8,6,5,3,4,4,2,4,4,6,4,2,4,4,5
kegg81,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00174 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11],K00174,15,13,16,18,11,17,13,17,18,16,19,19,12,17,16,14,13,11,14,12,20,13,14,14
kegg82,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00175 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11],K00175,9,11,12,9,11,7,11,13,7,8,11,11,8,9,13,7,9,8,6,7,7,10,8,7
kegg83,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),"K00239 succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]",K00239,29,26,22,29,24,24,21,24,23,29,27,25,23,24,29,24,28,26,24,26,21,25,27,21
kegg84,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),"K00240 succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]",K00240,17,10,11,21,13,10,14,12,11,14,16,14,13,16,14,16,17,17,14,15,19,10,16,15
kegg85,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),"K00241 succinate dehydrogenase / fumarate reductase, cytochrome b subunit",K00241,11,10,9,14,9,10,7,10,10,13,13,8,12,11,14,10,10,13,10,10,14,8,12,14
kegg86,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),"K00242 succinate dehydrogenase / fumarate reductase, membrane anchor subunit",K00242,7,7,8,11,10,5,7,4,7,8,10,8,11,10,13,8,9,10,6,6,12,9,7,11
kegg87,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00244 fumarate reductase flavoprotein subunit [EC:1.3.5.4],K00244,4,5,5,5,8,6,5,5,3,2,5,4,4,5,8,5,6,5,4,4,5,4,5,6
kegg88,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00245 fumarate reductase iron-sulfur subunit [EC:1.3.5.4],K00245,2,2,3,1,3,1,1,2,2,3,1,1,1,1,2,1,2,2,0,1,1,2,1,0
kegg89,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00246 fumarate reductase subunit C,K00246,3,1,2,2,3,3,2,1,1,3,2,2,1,2,2,2,0,2,1,1,1,3,0,1
kegg90,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4],K00382,25,23,24,24,24,28,25,23,23,27,23,24,30,32,21,27,33,22,21,30,36,22,27,20
kegg91,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00627 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12],K00627,22,23,21,20,16,20,25,17,25,21,27,19,23,29,37,22,23,29,16,23,31,29,18,28
kegg92,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K00658 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61],K00658,13,12,7,10,14,12,8,13,12,12,12,13,12,12,8,9,17,11,12,7,11,6,13,10
kegg93,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K01596 phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],K01596,5,7,4,5,5,3,2,4,3,3,1,5,6,6,4,7,13,7,6,4,8,8,6,6
kegg94,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K01610 phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],K01610,9,7,6,9,10,6,7,6,9,10,9,4,9,9,14,8,6,11,9,9,10,9,6,5
kegg95,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K01647 citrate synthase [EC:2.3.3.1],K01647,26,29,21,27,25,25,25,27,24,24,26,22,23,24,26,21,30,23,23,22,23,25,24,24
kegg96,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),"K01676 fumarate hydratase, class I [EC:4.2.1.2]",K01676,5,2,2,4,4,3,3,4,4,3,5,3,6,11,5,7,7,5,3,5,5,4,6,3
kegg97,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K01677 fumarate hydratase subunit alpha [EC:4.2.1.2],K01677,0,0,1,0,1,1,0,1,0,1,3,0,0,0,1,1,0,1,1,0,0,0,0,0
kegg98,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K01678 fumarate hydratase subunit beta [EC:4.2.1.2],K01678,0,0,1,0,0,0,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0
kegg99,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),"K01679 fumarate hydratase, class II [EC:4.2.1.2]",K01679,11,11,13,11,8,15,15,18,14,9,15,7,18,13,10,9,12,11,9,11,13,14,15,13
kegg100,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K01681 aconitate hydratase [EC:4.2.1.3],K01681,25,33,28,24,27,29,27,25,26,21,30,24,26,29,22,21,25,24,27,20,29,25,25,29
kegg101,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K01682 aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],K01682,0,0,0,1,0,0,0,0,0,0,1,0,1,3,2,4,1,1,1,4,0,2,3,2
